repo	file:line	literal	fact restated (YAML name | NEW:proposed | DERIVED:expr)	declared before this PR	note
libreac	include/reac/reac.h:19	0x8819	ETHERTYPE	yes	hand-written copy of REAC_ETHERTYPE
libreac	include/reac/reac.h:20	1492	FRAME_BYTES	yes	hand-written copy
libreac	include/reac/reac.h:21	1440	AUDIO_BYTES	yes	hand-written copy
libreac	include/reac/reac.h:22	50	AUDIO_OFFSET	yes	hand-written copy
libreac	include/reac/reac.h:23	50	L2_HEADER_LEN	yes	hand-written copy
libreac	include/reac/reac.h:24	40	MAX_CHANNELS	yes	hand-written copy
libreac	include/reac/reac.h:25	12	SAMPLES_PER_PKT	yes	hand-written copy
libreac	include/reac/reac.h:26	3	RESOLUTION	yes	hand-written copy
libreac	include/reac/reac.h:27	14	HDR_COUNTER_OFF	yes	hand-written copy
libreac	include/reac/reac.h:28	0xC2	END_MARKER_0	yes	hand-written copy
libreac	include/reac/reac.h:29	0xEA	END_MARKER_1	yes	hand-written copy
libreac	include/reac/reac.h:65	52	FRAME_OVERHEAD	yes	copy under different name REAC_UPSTREAM_OVERHEAD
libreac	include/reac/reac.h:66	36	BYTES_PER_CHANNEL	yes	copy under different name REAC_UPSTREAM_BYTES_PER_CH
libreac	include/reac/reac_boxreg.h:23	5	ENROLL_GROUPS (DERIVED:MAX_CHANNELS/8)	derived	5 x 8ch S-0808 = fabric
libreac	include/reac/reac_braid.h:58	3, & ~1	RESOLUTION + NEW:BRAID_PAIR_MAP	no	3 bypasses REAC_RESOLUTION; YAML line 24 deliberately excludes braid map
libreac	include/reac/reac_braid.h:60	3,0,1 / 4,5,2	NEW:BRAID_PAIR_MAP	no	per-pair byte permutation; wire layout (YAML says libreac-owned)
libreac	include/reac/reac_cfg.h:93	44100	NEW:SAMPLE_RATE_44K1	no	closed rate list
libreac	include/reac/reac_cfg.h:94	48000	NEW:SAMPLE_RATE_48K	no	closed rate list
libreac	include/reac/reac_cfg.h:95	96000	NEW:SAMPLE_RATE_96K	no	closed rate list
libreac	include/reac/reac_cfg.h:99	3	NEW:SAMPLE_RATE_COUNT	no	three legal paces (YAML PACE prose)
libreac	include/reac/reac_ctrlblk.h:41	18	CTRL_BLOCK_OFF	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:42	50	CTRL_BLOCK_END	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:43	49	CTRL_CKSUM_OFF	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:44	32	CTRL_BLOCK_LEN	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:85	1	LINK_CONTROL	yes	copy as REAC_LINK_CTRL
libreac	include/reac/reac_ctrlblk.h:86	2	LINK_AUX_S4000S	yes	copy as REAC_LINK_SECOND
libreac	include/reac/reac_ctrlblk.h:87	4	LINK_RECORD	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:89	0x00	NEW:SEG_MIDDLE	no	neither FIRST nor LAST bit; implied by SEG_FIRST_BIT/SEG_LAST_BIT
libreac	include/reac/reac_ctrlblk.h:90	0x01	SEG_FIRST_BIT	yes	copy as REAC_SEG_FIRST
libreac	include/reac/reac_ctrlblk.h:91	0x02	SEG_LAST_BIT	yes	copy as REAC_SEG_LAST
libreac	include/reac/reac_ctrlblk.h:92	0x03	SEG_SINGLE	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:95	0x00	SUB_0103_SCENE	yes	copy as REAC_OP_BULK (block[4] opcode 0)
libreac	include/reac/reac_ctrlblk.h:96	0x01	SUB_0103_SLOT_MAP	yes	copy as REAC_OP_SLOT_MAP
libreac	include/reac/reac_ctrlblk.h:98	0x10	SUB_0103_ENROLL_GROUP_MAP	yes	copy as REAC_OP_GROUP_MAP
libreac	include/reac/reac_ctrlblk.h:99	0x80	SUB_0103_DECLARATION_ALT	yes	copy as REAC_OP_DECL_ALT
libreac	include/reac/reac_ctrlblk.h:100	0x81	SUB_0103_LINK_ACK	yes	copy as REAC_OP_BOX_HB
libreac	include/reac/reac_ctrlblk.h:101	0x82	SUB_0103_COMMIT_REPORT	yes	copy as REAC_OP_DECL; also S-1608 device selector
libreac	include/reac/reac_ctrlblk.h:102	0x84	SUB_0103_COMMIT_REPORT_84	yes	copy as REAC_OP_DECL_OTHER; S-0808/S-4000S selector
libreac	include/reac/reac_ctrlblk.h:108	0x12	NEW:DT1_MODEL_ID_LO	no	Roland model id low byte at block[14]; ctrlblk.h:104-107
libreac	include/reac/reac_ctrlblk.h:109	0x11	NEW:DT1_CMD_RQ1	no	Roland RQ1 command at block[15]; YAML identity_page prose mentions 0x11
libreac	include/reac/reac_ctrlblk.h:110	0x12	NEW:DT1_CMD_DT1	no	Roland DT1 set command; YAML prose only
libreac	include/reac/reac_ctrlblk.h:111	0x0000	DT1_TAG_HEAD_MARK	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:112	0x0100	DT1_TAG_JOIN_GRANT	yes	copy as REAC_DT1_TAG_JOIN
libreac	include/reac/reac_ctrlblk.h:113	0x0101	DT1_TAG_HEAD_AMP	yes	copy as REAC_DT1_TAG_HEADAMP (also HEADAMP_TAG)
libreac	include/reac/reac_ctrlblk.h:114	0x0302	DT1_TAG_BOX_READY	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:115	0x0500	DT1_TAG_IDENTITY	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:140	8904	SCENE_BYTES	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:141	24	SCENE_HEAD_BYTES	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:142	26	SCENE_CHUNK_BYTES	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:143	14	SCENE_TAIL_BYTES	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:144	341	SCENE_CHUNKS	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:145	(1 + REAC_SCENE_CHUNKS + 1)	SCENE_STEPS	yes	restated derivation of declared 343
libreac	include/reac/reac_ctrlblk.h:151	0x000	SCENE_TAG_ID_OFF	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:152	0x368	SCENE_TAG_SYSP_OFF	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:153	0x37c	SCENE_TAG_SCEN_OFF	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:157	0x340	SCENE_MAC_OFF	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:172	0x014	SCENE_REVISION_OFF	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:177	blk[34]	TYPED_BLOCK_LEN	yes	array size literal 34 = type word + block
libreac	include/reac/reac_ctrlblk.h:260	0x37	HEADAMP_SENS_MAX	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:265	(-1000)	HEADAMP_SENS_REF_CDB	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:266	(100)	HEADAMP_SENS_STEP_CDB	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:267	(2000)	HEADAMP_PAD_CDB	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:365	config_block[32]	CTRL_BLOCK_LEN	yes	struct field size literal 32 (also 376,377,382-385,480)
libreac	include/reac/reac_ctrlblk.h:713	0x00	HEADAMP_PARAM_PHANTOM	yes	enum copy
libreac	include/reac/reac_ctrlblk.h:714	0x01	HEADAMP_PARAM_PAD	yes	enum copy
libreac	include/reac/reac_ctrlblk.h:715	0x02	HEADAMP_PARAM_SENS	yes	enum copy
libreac	include/reac/reac_ctrlblk.h:737	48	HEADAMP_CH_SPAN	yes	copy as REAC_HEADAMP_MAX_CH
libreac	include/reac/reac_ctrlblk.h:835	0	HEADAMP_GRAN_SENS_SHIFT	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:836	0	HEADAMP_GRAN_FLAGS_SHIFT	yes	hand-written copy
