repo	file:line	literal	fact restated (YAML name | NEW:proposed | DERIVED:expr)	declared before this PR	note
reac-pw	packaging/reac-pw.env.example:25	REAC_RATE=96000	NEW:REAC_RATE_96K	no	example config value
reac-pw	packaging/reac-pw.spec:44	"EtherType 0x8819"	REAC_ETHERTYPE	yes	%description prose; changelog also restates 1492/340/0x82/0x84 (prose, not itemised)
reac-pw	src/main.c:635	"0x8819"	REAC_ETHERTYPE	yes	in --help text
reac-pw	src/main.c:647	"44100, 48000 or 96000"	NEW:REAC_RATE_*	no	in --help text
reac-pw	src/main.c:656	"even 2..40"	NEW:REAC_BRAID_PAIR_CHANNELS ; REAC_MAX_CHANNELS	no	in --help text; 40 has a macro
reac-pw	src/main.c:678	"0x8819"	REAC_ETHERTYPE	yes	in --help text
reac-pw	src/main.c:746	"4000 fps"	DERIVED:REAC_RATE_48K/REAC_SAMPLES_PER_PKT	derived	in --help text
reac-pw	src/main.c:747	"8000 fps"	DERIVED:REAC_RATE_96K/REAC_SAMPLES_PER_PKT	derived	in --help text
reac-pw	src/main.c:1416	2 and (n & 1)	NEW:REAC_BRAID_PAIR_CHANNELS	no	box width must be even >=2 (braid pairs channels)
reac-pw	src/main.c:1440	44100 / 48000 / 96000	NEW:REAC_RATE_44K1 / REAC_RATE_48K / REAC_RATE_96K	no	duplicate of reac_rate_is_closed() in conf rate parse
reac-pw	src/main.c:1447	"44100, 48000 or 96000"	NEW:REAC_RATE_*	no	in refusal string
reac-pw	src/main.c:1939	"(40 ch)"	REAC_MAX_CHANNELS	yes	in log string
reac-pw	src/main.c:3157	"0x8819"	REAC_ETHERTYPE	yes	in sniffer error string
reac-pw	src/main.c:4453	"52 + n*36"	REAC_FRAME_OVERHEAD ; REAC_BYTES_PER_CHANNEL	yes	geometry restated in refusal string
reac-pw	src/main.c:5497	44100 / 48000 / 96000	NEW:REAC_RATE_44K1 / REAC_RATE_48K / REAC_RATE_96K	no	third copy of legal-rate check (--rate argv)
reac-pw	src/main.c:5499	"44100, 48000 or 96000"	NEW:REAC_RATE_*	no	in refusal string
reac-pw	src/main.c:5554	2 and (box_channels & 1)	NEW:REAC_BRAID_PAIR_CHANNELS	no	same even-width rule, --box-channels argv
reac-pw	src/main.c:5556	"8 = S-0808, 16 = S-1608, 32 = S-4000S"	REAC_PLACEMENT(in_ch rows 8/16/32)	yes	per-model widths in refusal string
reac-pw	src/reac_link_budget.c:17	12u	REAC_SAMPLES_PER_PKT	yes	pps = sample_rate / 12; macro exists in libreac
reac-pw	src/reac_rate_cfg.c:28	44100 / 48000 / 96000	NEW:REAC_RATE_44K1 / REAC_RATE_48K / REAC_RATE_96K	no	closed set of legal paces; YAML has only boolean pace facts
reac-pw	src/reac_rate_cfg.c:34	44100	NEW:REAC_RATE_44K1	no	switch case rate->bit
reac-pw	src/reac_rate_cfg.c:35	48000	NEW:REAC_RATE_48K	no	switch case rate->bit
reac-pw	src/reac_rate_cfg.c:36	96000	NEW:REAC_RATE_96K	no	switch case rate->bit
reac-pw	src/reac_rate_cfg.c:44	96000	NEW:REAC_RATE_96K	no	best-drivable return value
reac-pw	src/reac_rate_cfg.c:45	48000	NEW:REAC_RATE_48K	no	best-drivable return value
reac-pw	src/reac_rate_cfg.c:46	44100	NEW:REAC_RATE_44K1	no	best-drivable return value
reac-pw	src/reac_rate_cfg.c:52	{ 44100, 48000, 96000 } and [3]	NEW:REAC_RATE_* ; DERIVED:count(REAC_RATE_*)	no	ordered rate table; size 3 = number of legal paces
reac-pw	src/reac_rate_cfg.c:56	3	DERIVED:count(REAC_RATE_*)	derived	loop bound restates legal-pace count
reac-pw	src/reac_sink_node.c:584	"44100|48000|96000"	NEW:REAC_RATE_*	no	in PropInfo description string
