reac.ksy path	literal	fact it restates	bound (ratcheted) before this PR	bound after this PR
seq/0/size	6	ETH_ADDR_BYTES	no	ETH_ADDR_BYTES
seq/1/size	6	ETH_ADDR_BYTES	no	no
seq/2/contents	88 19	ETHERTYPE	ETHERTYPE	ETHERTYPE
seq/4/size	34	TYPED_BLOCK_LEN	TYPED_BLOCK_LEN	TYPED_BLOCK_LEN
seq/6/contents	c2 ea	END_MARKER_0, END_MARKER_1	END_MARKER_0, END_MARKER_1	END_MARKER_0, END_MARKER_1
instances/len_audio/value	raw_len - 52	FRAME_OVERHEAD	FRAME_OVERHEAD	FRAME_OVERHEAD
instances/num_channels/value	(raw_len - 52) / 36	BYTES_PER_CHANNEL	BYTES_PER_CHANNEL	BYTES_PER_CHANNEL
instances/is_downstream_width/value	num_channels == 40	MAX_CHANNELS	MAX_CHANNELS	MAX_CHANNELS
types/typed_block/seq/1/size	32	CTRL_BLOCK_LEN	CTRL_BLOCK_LEN	CTRL_BLOCK_LEN
types/typed_block/instances/raw_block/pos	2	TYPE_WORD_BYTES	no	TYPE_WORD_BYTES
types/typed_block/instances/raw_block/size	32	CTRL_BLOCK_LEN	no	no
types/typed_block/instances/block_checksum/pos	33	DERIVED:TYPE_WORD_BYTES + CTRL_CKSUM_OFF_IN_BLOCK	no	no
types/typed_block/instances/op_raw/pos	2	DERIVED:TYPE_WORD_BYTES + HDR_LINK_OFF	no	no
types/typed_block/instances/op_len_raw/pos	4	HDR_LEN_OFF	no	HDR_LEN_OFF
types/typed_block/instances/link_raw/pos	2	DERIVED:TYPE_WORD_BYTES + HDR_LINK_OFF	no	no
types/typed_block/instances/seg_raw/pos	3	DERIVED:TYPE_WORD_BYTES + HDR_SEG_OFF	no	no
types/typed_block/instances/opcode_raw/pos	6	DERIVED:TYPE_WORD_BYTES + HDR_OPCODE_OFF	no	no
types/typed_block/instances/dt1_model_lo/pos	16	DT1_MODEL_LO_OFF	no	DT1_MODEL_LO_OFF
types/typed_block/instances/dt1_command/pos	17	DT1_CMD_OFF	no	DT1_CMD_OFF
types/typed_block/instances/dt1_tag/pos	18	DT1_TAG_OFF	no	DT1_TAG_OFF
types/typed_block/instances/ctrl_kind/value	type_word == frame_type::filler ? ctrl_kind::filler : type_word == fra	DT1_MODEL_ID_LO	no	DT1_MODEL_ID_LO
types/filler_block/seq/0/repeat-expr	16	DERIVED:CTRL_BLOCK_LEN / 2 (the 16 filler descriptor words)	no	no
types/control_block/seq/2/size	28	DERIVED:CTRL_BLOCK_LEN - HDR_OPCODE_OFF	no	no
types/control_block/instances/block_checksum/pos	31	CTRL_CKSUM_OFF_IN_BLOCK	CTRL_CKSUM_OFF_IN_BLOCK	CTRL_CKSUM_OFF_IN_BLOCK
types/control_block/instances/link/pos	0	HDR_LINK_OFF	no	HDR_LINK_OFF
types/control_block/instances/seg/pos	1	HDR_SEG_OFF	no	HDR_SEG_OFF
types/control_block/instances/seg_is_first/value	(seg & 1) != 0	SEG_FIRST_BIT	no	no
types/control_block/instances/seg_is_last/value	(seg & 2) != 0	SEG_LAST_BIT	no	no
types/control_block/instances/seg_kind/value	seg & 3	SEG_SINGLE (as mask)	no	no
types/control_block/instances/opcode/pos	4	HDR_OPCODE_OFF	no	HDR_OPCODE_OFF
types/cfea_payload/seq/0/contents	01 03 0d 01 04	ANNOUNCE_HEAD_BYTES (length only; the bytes 01 03 0d 01 04 are undeclared: 01 03 = OP_PAGE_0103, 0d = LEN_SUB_ENROLL_GROUP_MAP?, unverified)	no	no
types/cfea_payload/seq/1/size	6	ETH_ADDR_BYTES	no	no
types/scene_chunk_payload/seq/1/size	26	SCENE_CHUNK_BYTES	SCENE_CHUNK_BYTES	SCENE_CHUNK_BYTES
types/scene_header_payload/seq/2/size	24	SCENE_HEAD_BYTES	SCENE_HEAD_BYTES	SCENE_HEAD_BYTES
types/scene_body/seq/0/contents	31 32 33 34	SCENE_TAG_ID	no	SCENE_TAG_ID
types/scene_body/seq/2/size	2	reserved run (walked)	no	no
types/scene_body/seq/4/size	10	reserved run (walked)	no	no
types/scene_body/seq/6/size	4	reserved run (walked)	no	no
types/scene_body/seq/7/repeat-expr	80	SCENE_SLOT_COUNT	SCENE_SLOT_COUNT	SCENE_SLOT_COUNT
types/scene_body/seq/8/size	6	reserved run (walked by facts_xcheck scene_body_offsets)	no	no
types/scene_body/seq/9/size	6	ETH_ADDR_BYTES	no	no
types/scene_body/seq/10/size	4	reserved run (walked)	no	no
types/scene_body/seq/11/size	6	ETH_ADDR_BYTES	no	no
types/scene_body/seq/12/size	4	reserved run (walked)	no	no
types/scene_body/seq/13/size	6	ETH_ADDR_BYTES	no	no
types/scene_body/seq/14/size	14	map_b (walked)	no	no
types/scene_sysp/seq/0/contents	53 59 53 50	SCENE_TAG_SYSP	no	SCENE_TAG_SYSP
types/scene_sysp/seq/4/size	11	NOT DECLARED — SYSP reserved 11 (walked, offset-checked)	no	no
types/scene_scen/seq/0/contents	53 43 45 4e	SCENE_TAG_SCEN	no	SCENE_TAG_SCEN
types/scene_scen/seq/3/repeat-expr	800	NOT DECLARED — SCEN table length 800 (see audit: open)	no	no
types/scene_scen/seq/4/size	4	NOT DECLARED — SCEN trailer 4 (walked)	no	no
types/page_0103/instances/subtype/pos	0	SUB_0103_OFF	SUB_0103_OFF	SUB_0103_OFF
types/page_0103/instances/is_reply/value	(subtype & 0x80) != 0	SUB_REPLY_BIT	no	SUB_REPLY_BIT
types/page_0103/instances/page_kind/value	subtype == 0x01 ? page_kind::chanmap : (subtype & 0xf0) == 0x80 and su	SUB_0103_SLOT_MAP, SUB_REPLY_BIT, SUB_0103_LINK_ACK, SUB_0103_ENROLL_GROUP_MAP + mask 0xf0 (NOT DECLARED: subtype class mask)	no	no
types/chanmap_page/seq/1/repeat-expr	8	CHANMAP_RECS_PER_FRAME	no	CHANMAP_RECS_PER_FRAME
types/chanmap_entry/instances/is_group_anchor/value	slot < 0x30 and (slot & 3) == 0	SLOT_SPACE (0x30) + PORTS_CH_PER_SLOT (as & 3)	no	no
types/chanmap_entry/instances/group/value	slot >> 2	DERIVED:log2(PORTS_CH_PER_SLOT)	no	no
types/chanmap_entry/instances/cell_type/value	cell_and_flags >> 4	CHANMAP_CELL_MASK (as >> 4)	no	no
types/chanmap_entry/instances/flag_slot_4/value	(cell_and_flags >> 3) & 1	SLOT_CELL_FLAG_BIT3	no	no
types/chanmap_entry/instances/flag_slot_8/value	(cell_and_flags >> 2) & 1	SLOT_CELL_FLAG_BIT2	no	no
types/chanmap_entry/instances/flag_slot_6/value	(cell_and_flags >> 1) & 1	SLOT_CELL_FLAG_BIT1	no	no
types/chanmap_entry/instances/is_identity_record/value	slot == 0xfe	CHANMAP_ID_IDENTITY	no	CHANMAP_ID_IDENTITY
types/chanmap_entry/instances/is_filler_record/value	slot == 0xff	CHANMAP_ID_FILLER	no	CHANMAP_ID_FILLER
types/commit_report_page/seq/1/size	2	DERIVED:PORTS_TABLE_OFF - ... (two zero bytes; not declared as a width)	no	no
